Name,Amount,Date
0_Root ,49,"18 December, 2024"
level1 user1 ,42,"18 December, 2024"
level2 user1 ,28,"18 December, 2024"
level3 user1 ,0,"18 December, 2024"
level10 user1 ,0,"18 December, 2024"
0_Root ,49,"18 December, 2024"
level1 user1 ,42,"18 December, 2024"
level2 user1 ,28,"18 December, 2024"
level3 user1 ,0,"18 December, 2024"
level10 user1 ,0,"18 December, 2024"
0_Root ,49,"18 December, 2024"
level1 user1 ,42,"18 December, 2024"
level2 user1 ,28,"18 December, 2024"
level3 user1 ,0,"18 December, 2024"
level10 user1 ,0,"18 December, 2024"
0_Root ,49,"18 December, 2024"
level1 user1 ,42,"18 December, 2024"
level2 user1 ,28,"18 December, 2024"
level3 user1 ,0,"18 December, 2024"
level10 user1 ,0,"18 December, 2024"
